session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,Ethnicity (Simplified),First Language,Nationality,Sex,Student Status
5f11be12d4e33607cb8c3a0e,5ce06d7be60da000190c966a,APPROVED,2020-07-17 15:04:50.661000,2020-07-17 15:12:19.594000,448.933,56,31,0,100,2020-07-17 16:36:42.200000,3A147E63,United Kingdom,United Kingdom,Full-Time,White,English,United Kingdom,Female,No
5f11be159b1f0b073c9ebb76,5d42095cd8e961001b82576e,APPROVED,2020-07-17 15:04:53.568000,2020-07-17 15:08:45.014000,231.446,24,75,0,100,2020-07-17 16:36:44.355000,3A147E63,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",White,English,United Kingdom,Female,No
5f11be2c0e769c07c805918d,5de450710f8b6742e6e7adda,APPROVED,2020-07-17 15:05:16.309000,2020-07-17 15:13:31.502000,495.193,18,6,0,100,2020-07-17 16:36:46.721000,3A147E63,,United Kingdom,,White,English,United Kingdom,Female,Yes
5f11be384d4d4f07b14abfbc,5ec75bf64d19c81c03f3e061,APPROVED,2020-07-17 15:05:28.154000,2020-07-17 15:26:11.181000,1243.027,51,7,0,100,2020-07-17 16:36:48.638000,3A147E63,United Kingdom,United Kingdom,Full-Time,White,English,United Kingdom,Female,No
5f11be6537d0f806f12cd9ed,5e5e7da87717c1000e06d0a7,APPROVED,2020-07-17 15:06:17.058000,2020-07-17 15:11:31.770000,314.712,21,18,0,100,2020-07-17 16:36:51.333000,3A147E63,United Kingdom,United Kingdom,Full-Time,White,English,United Kingdom,Female,No
5f11be82b8e92c0775bb451a,5dcc073ea8901b898dd66bd8,APPROVED,2020-07-17 15:06:42.657000,2020-07-17 15:13:04.923000,382.266,36,31,0,100,2020-07-17 16:36:53.974000,3A147E63,United Kingdom,United Kingdom,Full-Time,White,English,United Kingdom,Female,No
5f11beacd0d9fa0722243c2d,5c6f317e32cb70000169b4b3,APPROVED,2020-07-17 15:07:24.143000,2020-07-17 15:12:33.396000,309.253,38,102,0,100,2020-07-17 16:36:56.357000,3A147E63,United Kingdom,United Kingdom,Part-Time,White,English,United Kingdom,Female,No
5f11beaf4d4d4f06fd9910c1,5dc86f7c41ba725e863efae5,APPROVED,2020-07-17 15:07:27.661000,2020-07-17 15:12:01.037000,273.376,39,7,0,100,2020-07-17 16:36:59.053000,3A147E63,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",White,English,United Kingdom,Female,No
5f11bed4b0fa87076ba9c875,5e40474d81d99c280a8230f3,APPROVED,2020-07-17 15:08:05.485000,2020-07-17 15:13:21.684000,316.199,21,68,1,100,2020-07-17 16:37:02.409000,3A147E63,United Kingdom,United Kingdom,Part-Time,White,English,United Kingdom,Female,Yes
5f11bed5fcffd007ab015940,5e78738552d8623db6cb995a,APPROVED,2020-07-17 15:08:05.059000,2020-07-17 15:13:41.806000,336.747,46,12,0,100,2020-07-17 16:37:05.046000,3A147E63,United Kingdom,United Kingdom,Other,White,English,United Kingdom,Female,No
5f11beeaa5441906b5b46b41,5eea5ad8e3adae1193d8d2e1,RETURNED,2020-07-17 15:08:26.188000,,21213.824884,33,1,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5f11bef1dab16206f90fae0d,5d0245818390c60018daf773,APPROVED,2020-07-17 15:08:33.294000,2020-07-17 15:13:05.817000,272.523,24,49,1,100,2020-07-17 16:37:07.475000,3A147E63,United Kingdom,United Kingdom,Full-Time,White,English,United Kingdom,Female,No
5f11bef3309cda079eb5a374,5e97336385549c082308e61b,APPROVED,2020-07-17 15:08:36.911000,2020-07-17 15:13:14.181000,277.27,27,32,0,100,2020-07-17 16:37:09.807000,3A147E63,United Kingdom,United Kingdom,Full-Time,White,English,United Kingdom,Female,No
5f11bf3d8dfb6207428a0c26,5bec1432d1ac4f0001ff723e,APPROVED,2020-07-17 15:09:52.621000,2020-07-17 15:14:12.074000,259.453,40,296,2,100,2020-07-17 16:37:12.689000,3A147E63,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",White,English,United Kingdom,Female,No
5f11bf46282a1b072b44171c,5d3dcf20791fe2001673f579,TIMED-OUT,2020-07-17 15:09:58.248000,,21121.852978,50,6,0,100,,,United Kingdom,United Kingdom,Part-Time,White,English,United Kingdom,Female,No
5f11bf7aac182f07f19295f3,5af1727eeb359a00016185fb,APPROVED,2020-07-17 15:10:50.139000,2020-07-17 15:15:16.174000,266.035,64,30,0,100,2020-07-17 16:37:15.455000,3A147E63,United Kingdom,United Kingdom,Part-Time,White,English,United Kingdom,Female,DATA EXPIRED
5f11bf97188dff07489216c8,5df9fe1d7caa1e75418c295d,APPROVED,2020-07-17 15:11:24.303000,2020-07-17 15:16:51.950000,327.647,27,99,0,100,2020-07-17 16:37:17.625000,3A147E63,United Kingdom,United Kingdom,Full-Time,White,English,United Kingdom,Female,No
5f11bf9c188dff07489216c9,5ee792e089b70a03119a48aa,APPROVED,2020-07-17 15:11:26.264000,2020-07-17 15:18:09.747000,403.483,20,5,0,100,2020-07-17 16:37:21.064000,NOCODE,United Kingdom,,,White,,United Kingdom,Female,
5f11bfb382799f0703373da5,5eea68a215ff4514e1e3541c,APPROVED,2020-07-17 15:11:51.059000,2020-07-17 15:16:15.222000,264.163,20,6,0,100,2020-07-17 16:37:22.934000,3A147E63,United Kingdom,United Kingdom,Full-Time,White,English,United Kingdom,Female,No
5f11bff1a54419084337fe21,5e9f0526e12f9e060ad78fd8,APPROVED,2020-07-17 15:12:51.601000,2020-07-17 15:18:21.295000,329.694,50,30,0,100,2020-07-17 16:37:25.697000,3A147E63,United Kingdom,United Kingdom,Part-Time,White,English,United Kingdom,Female,No
5f11bff63cea82076281fca9,5a96e5594eecca0001dd5df7,APPROVED,2020-07-17 15:12:55.952000,2020-07-17 15:16:11.425000,195.473,25,131,1,100,2020-07-17 16:37:28.460000,3A147E63,United Kingdom,United Kingdom,Full-Time,White,English,United Kingdom,Female,No
5f11c026c1b7a70763c87c44,5ea6bbae16db53043035ace7,APPROVED,2020-07-17 15:13:44.328000,2020-07-17 15:19:31.375000,347.047,33,7,0,100,2020-07-17 16:37:31.423000,3A147E63,United Kingdom,United Kingdom,Part-Time,White,English,United Kingdom,Female,No
5f11c02d24fdfb07c4cbfe25,5c93e9a464d5c100151ea3d6,APPROVED,2020-07-17 15:13:51.201000,2020-07-17 15:20:13.443000,382.242,24,49,0,100,2020-07-17 16:37:34.795000,3A147E63,United Kingdom,United Kingdom,Full-Time,White,English,United Kingdom,Female,No
5f11c02e8f437f074f850e3e,5aba5ca31667e40001d7e995,APPROVED,2020-07-17 15:13:56.714000,2020-07-17 15:18:50.119000,293.405,58,52,0,100,2020-07-17 16:37:37.257000,3A147E63,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker, retired or disabled)",White,English,United Kingdom,Female,No
5f11c03153550c085df3126a,5e485bbb8459a12fed8cb755,APPROVED,2020-07-17 15:13:53.861000,2020-07-17 15:18:57.365000,303.504,28,23,0,100,2020-07-17 16:37:39.641000,3A147E63,United Kingdom,United Kingdom,Full-Time,White,English,United Kingdom,Female,Yes
5f11c05344b6a406d59543d9,5e94e523bd18cc0b0faeaddf,APPROVED,2020-07-17 15:14:29.399000,2020-07-17 15:20:38.676000,369.277,35,30,0,100,2020-07-17 16:37:42.258000,3A147E63,United Kingdom,,Full-Time,White,English,United Kingdom,Female,No
