session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,Ethnicity (Simplified),First Language,Nationality,Sex,Student Status
5f116ef59df7fd5047595066,5eea2c0290703f05da3e85a0,APPROVED,2020-07-17 09:27:17.767000,2020-07-17 09:34:34.531000,436.764,43,5,0,100,2020-07-17 11:06:29.489000,3A147E63,Morocco,,Other,Other,Arabic,United Kingdom,Female,Yes
5f116f0c5a066b39bfabb44d,5d544bf2fc2be300010e7bcc,APPROVED,2020-07-17 09:27:40.520000,2020-07-17 09:32:20.330000,279.81,31,72,1,100,2020-07-17 11:06:32.559000,3A147E63,United Kingdom,United Kingdom,Full-Time,Asian,English,United Kingdom,Female,No
5f1171e0e80fba50b27f63a9,5eee6c0f177a73322083831f,APPROVED,2020-07-17 09:39:44.424000,2020-07-17 09:47:07.456000,443.032,23,2,0,100,2020-07-17 11:06:34.812000,3A147E63,United Kingdom,United Kingdom,Part-Time,Mixed,English,United Kingdom,Female,No
5f1172422d006450e7ac9d43,56a25853dbe850000cfcd1e4,APPROVED,2020-07-17 09:41:22.445000,2020-07-17 09:47:41.104000,378.659,45,639,3,100,2020-07-17 11:06:36.985000,3A147E63,United Kingdom,United Kingdom,Other,Asian,English,United Kingdom,Female,No
5f117320edb2045002a84a2c,5c40885a5f15ff0001bbde31,APPROVED,2020-07-17 09:45:08.647000,2020-07-17 09:49:02.068000,233.421,30,114,0,100,2020-07-17 11:06:39.158000,3A147E63,Sudan,United Kingdom,Full-Time,Black,English,United Kingdom,Female,No
5f11735274d9023a0739b33b,5b1d7984aaaa8500012565c4,APPROVED,2020-07-17 09:45:59.338000,2020-07-17 09:54:20.956000,501.618,53,287,2,100,2020-07-17 11:06:41.081000,3A147E63,United Kingdom,United Kingdom,Full-Time,Black,English,United Kingdom,Female,No
5f117392b2fdf501e62bc3a3,5b29601834ffd00001b4a10f,APPROVED,2020-07-17 09:47:00.695000,2020-07-17 09:50:49.048000,228.353,20,126,0,100,2020-07-17 11:06:43.257000,3A147E63,Hong Kong,United Kingdom,Unemployed (and job seeking),Mixed,Chinese,United Kingdom,Female,Yes
5f1173ce67c6dd51db725e33,59ec6ee7ae9f950001d84869,APPROVED,2020-07-17 09:47:58.162000,2020-07-17 09:52:14.102000,255.94,25,71,0,100,2020-07-17 11:06:45.694000,3A147E63,United Kingdom,United Kingdom,DATA EXPIRED,Asian,English,United Kingdom,Female,Yes
5f11741dd6142939e4b6e359,5ee8e276c59d46219b9c7143,APPROVED,2020-07-17 09:49:21.145000,2020-07-17 09:53:59.228000,278.083,21,19,0,100,2020-07-17 11:06:48.230000,3A147E63,United Kingdom,United Kingdom,Unemployed (and job seeking),Mixed,English,United Kingdom,Female,Yes
5f11743089d551012a24b9b1,5afd8074fabc8900018864dc,APPROVED,2020-07-17 09:49:46.430000,2020-07-17 09:55:43.587000,357.157,27,85,0,100,2020-07-17 11:06:50.216000,3A147E63,United Kingdom,United Kingdom,Full-Time,Asian,English,United Kingdom,Female,Yes
5f11746654ae125079442d1c,5c1c08b610677f0001d9a6d4,APPROVED,2020-07-17 09:50:33.670000,2020-07-17 09:55:35.330000,301.66,23,215,2,100,2020-07-17 11:06:52.581000,3A147E63,South Africa,United Kingdom,Unemployed (and job seeking),Black,English,United Kingdom,Female,No
5f11746af12b1851aced4cf4,5ba1a06b0686690001f514ae,APPROVED,2020-07-17 09:50:49.411000,2020-07-17 09:56:58.785000,369.374,31,417,0,100,2020-07-17 11:06:54.969000,3A147E63,Zimbabwe,United Kingdom,DATA EXPIRED,Mixed,English,United Kingdom,Female,No
5f1174f554ae125079442d1f,5e6fda87fab3ff5992be2352,APPROVED,2020-07-17 09:52:55.722000,2020-07-17 10:00:24.472000,448.75,58,82,0,100,2020-07-17 11:06:56.416000,3A147E63,United Kingdom,United Kingdom,Part-Time,Mixed,English,United Kingdom,Female,No
5f1174f8a0ed4a50a3d4dfb9,5eb3e765a781b11dc852fcd6,APPROVED,2020-07-17 09:53:26.441000,2020-07-17 10:01:51.162000,504.721,20,39,0,100,2020-07-17 11:06:58.507000,3A147E63,United Kingdom,United Kingdom,Part-Time,Mixed,English,United Kingdom,Female,Yes
5f1175244034fc50f9b65b7c,5ede45d568c10a07e533c4e2,APPROVED,2020-07-17 09:53:40.149000,2020-07-17 09:57:26.920000,226.771,28,30,1,100,2020-07-17 11:07:00.539000,3A147E63,United Kingdom,,Full-Time,Other,English,United Kingdom,Female,No
5f1175e7661dcd51874de991,5d5a8195aa06d3001a77b132,APPROVED,2020-07-17 09:56:57.627000,2020-07-17 10:01:05.993000,248.366,26,139,1,100,2020-07-17 11:07:02.649000,3A147E63,United Kingdom,United Kingdom,Full-Time,Mixed,English,United Kingdom,Female,No
5f1176d65c5e9d00098ff907,5dcdc229f17b6608c4e33a59,APPROVED,2020-07-17 10:00:54.391000,2020-07-17 10:06:43.053000,348.662,20,70,2,99,2020-07-17 11:07:05.039000,3A147E63,United Kingdom,United Kingdom,Other,Asian,Urdu,United Kingdom,Female,Yes
5f1176d71fcefe50f333667b,5eff7cb110122803742e37d9,APPROVED,2020-07-17 10:00:57.430000,2020-07-17 10:09:24.687000,507.257,23,11,0,100,2020-07-17 11:07:07.129000,3A147E63,Philippines,United Kingdom,Full-Time,Asian,English,United Kingdom,Female,No
5f1177161fcefe52226b1bdb,5efca852d1dcf107429e3ce5,APPROVED,2020-07-17 10:02:01.006000,2020-07-17 10:06:39.633000,278.627,21,12,0,100,2020-07-17 11:07:09.535000,3A147E63,United Kingdom,United Kingdom,Unemployed (and job seeking),Asian,English,United Kingdom,Female,Yes
5f11771a80b2f501d5d62e49,5eb1e23ebf6e0032a2571367,APPROVED,2020-07-17 10:02:04.384000,2020-07-17 10:06:34.984000,270.6,20,41,1,100,2020-07-17 11:07:12.202000,3A147E63,United Kingdom,United Kingdom,Unemployed (and job seeking),Asian,English,United Kingdom,Female,Yes
5f117752d322e13a34b54e81,5ed14550d542970724ba73cb,APPROVED,2020-07-17 10:02:59.719000,2020-07-17 10:07:26.835000,267.116,21,37,1,100,2020-07-17 11:07:13.893000,3A147E63,China,United Kingdom,Part-Time,Asian,English,United Kingdom,Female,Yes
5f11777634d37802b7e42b08,5a2527ecc9199b0001081ace,APPROVED,2020-07-17 10:03:40.309000,2020-07-17 10:09:08.600000,328.291,50,396,3,100,2020-07-17 11:07:16.383000,3A147E63,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",Asian,Chinese,United Kingdom,Female,No
5f117779f7c9903983dcc987,5c757510814ff4001657b411,APPROVED,2020-07-17 10:03:41.231000,2020-07-17 10:09:49.021000,367.79,20,87,0,100,2020-07-17 11:07:18.550000,3A147E63,United Kingdom,United Kingdom,Part-Time,Asian,Hindi,United Kingdom,Female,Yes
5f11778ca16c0a511c4e87d0,5ee41ab6e5eb9f11878e969f,APPROVED,2020-07-17 10:04:03.955000,2020-07-17 10:11:18.167000,434.212,35,28,0,100,2020-07-17 11:07:20.621000,3A147E63,United Kingdom,United Kingdom,Full-Time,Mixed,English,United Kingdom,Female,Yes
5f1177a11500353b28c25623,5ec65589a964d701f613b33a,APPROVED,2020-07-17 10:04:21.217000,2020-07-17 10:09:00.726000,279.509,20,47,0,100,2020-07-17 11:07:23.005000,3A147E63,United Kingdom,United Kingdom,Unemployed (and job seeking),Asian,English,United Kingdom,Female,Yes
5f1177d8be1cf951f5fdb1db,5b015d7e4f435000018c599c,APPROVED,2020-07-17 10:05:15.212000,2020-07-17 10:10:21.890000,306.678,33,389,3,100,2020-07-17 11:07:25.111000,3A147E63,United Kingdom,United Kingdom,Part-Time,Asian,Chinese,United Kingdom,Female,No
5f1177e1c3048950fb63380a,5deeb419048ef4000d073e9f,APPROVED,2020-07-17 10:05:24.932000,2020-07-17 10:11:31.828000,366.896,21,47,0,100,2020-07-17 11:07:27.348000,3A147E63,United Kingdom,United Kingdom,Part-Time,Mixed,English,United Kingdom,Female,Yes
5f1177e7408f6050f167677b,5eaf0f7a12e7015e515672f5,APPROVED,2020-07-17 10:07:57.827000,2020-07-17 10:11:33.773000,215.946,18,79,1,100,2020-07-17 11:07:29.537000,3A147E63,United Kingdom,United Kingdom,Part-Time,Mixed,English,United Kingdom,Female,Yes
5f1177ec8a1b1a51d5013a04,5c47fb949afd7b000197126e,APPROVED,2020-07-17 10:05:32.827000,2020-07-17 10:09:56.903000,264.076,35,23,0,100,2020-07-17 11:07:31.311000,3A147E63,United Kingdom,Germany,Full-Time,Other,English,United Kingdom,Female,No
5f117810860ece50df2803d6,5d6e5070a98e330019be0e0f,APPROVED,2020-07-17 10:06:12.019000,2020-07-17 10:09:24.794000,192.775,36,137,1,100,2020-07-17 11:07:33.036000,3A147E63,United Kingdom,United Kingdom,Part-Time,Black,English,United Kingdom,Female,No
5f11781745ca29000ab7f377,5e11a233bf3d4e851df46213,APPROVED,2020-07-17 10:06:15.519000,2020-07-17 10:10:11.088000,235.569,25,150,0,100,2020-07-17 11:07:35.301000,3A147E63,United Kingdom,United Kingdom,Full-Time,Asian,English,United Kingdom,Female,No
5f11782e73934251c5b3efd2,5ee8b1ef2d5eee042fbb8d06,APPROVED,2020-07-17 10:06:43.117000,2020-07-17 10:10:16.758000,213.641,18,23,0,100,2020-07-17 11:07:37.775000,3A147E63,United Kingdom,United Kingdom,Unemployed (and job seeking),Mixed,English,United Kingdom,Female,Yes
5f117877d631e85171b2cde1,5870b84b127d7700018b15ec,APPROVED,2020-07-17 10:07:55.739000,2020-07-17 10:12:17.324000,261.585,39,67,0,100,2020-07-17 11:07:39.801000,3A147E63,United Kingdom,United Kingdom,Full-Time,Mixed,English,United Kingdom,Female,No
5f117881ad604e5089554351,5f039b1f24106e5d60e9e039,APPROVED,2020-07-17 10:08:04.708000,2020-07-17 10:12:36.968000,272.26,30,9,0,100,2020-07-17 11:07:41.849000,3A147E63,Malaysia,United Kingdom,Full-Time,Asian,Chinese,United Kingdom,Female,No
5f11788b54ae12514179e46c,5edcb84410e94697962587a4,APPROVED,2020-07-17 10:08:14.227000,2020-07-17 10:13:13.037000,298.81,21,16,0,100,2020-07-17 11:07:43.975000,3A147E63,United Arab Emirates,United Kingdom,Part-Time,Mixed,English,United Kingdom,Female,Yes
5f1178d71500353b7a4b277e,5ecdc457c4b241140ab35e2b,APPROVED,2020-07-17 10:09:27.880000,2020-07-17 10:20:51.908000,684.028,18,44,0,100,2020-07-17 11:07:46.371000,3A147E63,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",Mixed,English,United Kingdom,Female,Yes
5f11790292ec49000a7cf37f,5da6d03fe7d12f00165fbc31,APPROVED,2020-07-17 10:10:23.850000,2020-07-17 10:15:13.642000,289.792,34,39,0,100,2020-07-17 11:07:48.857000,3A147E63,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",Asian,English,United Kingdom,Female,No
5f11796cc384a952382c9ce5,5efda9ab3cacd6017cb12e7e,APPROVED,2020-07-17 10:11:56.794000,2020-07-17 10:16:22.165000,265.371,28,9,0,100,2020-07-17 11:07:50.998000,3A147E63,United Kingdom,United Kingdom,Unemployed (and job seeking),Black,English,United Kingdom,Female,Yes
5f1179996a9db1000844e473,56ace4ac7b406d0006702cc1,APPROVED,2020-07-17 10:12:43.217000,2020-07-17 10:31:00.648000,1097.431,23,478,1,100,2020-07-17 11:07:53.290000,3A147E63,United Kingdom,United Kingdom,Part-Time,Asian,English,United Kingdom,Female,No
5f1179a632ec82399c930c30,5efdfc18844ec829920fc0a7,APPROVED,2020-07-17 10:15:08.743000,2020-07-17 10:22:26.452000,437.709,36,12,0,100,2020-07-17 11:07:55.700000,3A147E63,United Kingdom,United Kingdom,Unemployed (and job seeking),Asian,English,United Kingdom,Female,No
5f1179b9d3d74e50bcb7d866,5ec65a559ce7440431c9e72d,APPROVED,2020-07-17 10:13:16.666000,2020-07-17 11:06:18.785000,3182.119,33,13,0,100,2020-07-17 11:06:20.309000,Manual Completion,United Kingdom,United Kingdom,Full-Time,Other,English,United Kingdom,Female,No
5f1179bf5c490e517095d180,5cdb487aa63838000162bc73,APPROVED,2020-07-17 10:13:26.161000,2020-07-17 10:18:35.875000,309.714,44,285,1,100,2020-07-17 11:07:58.068000,3A147E63,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",Asian,English,United Kingdom,Female,No
5f1179c801b48a5050a02d39,5c466ba9eec8c2000130ec60,APPROVED,2020-07-17 10:13:36.094000,2020-07-17 10:21:09.944000,453.85,49,265,0,100,2020-07-17 11:08:00.035000,3A147E63,Nigeria,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",Black,English,United Kingdom,Female,No
5f1179da01b48a5180dd3f36,5f024111bc410b3d33cbd3cc,APPROVED,2020-07-17 10:13:52.945000,2020-07-17 10:17:29.778000,216.833,22,6,0,100,2020-07-17 11:08:02.345000,3A147E63,United Kingdom,United Kingdom,Full-Time,Asian,Bengali,United Kingdom,Female,No
5f1179f298c5b13a51e28644,5efd17fa04109d159d5c9f42,APPROVED,2020-07-17 10:14:13.502000,2020-07-17 10:21:06.875000,413.373,21,8,0,100,2020-07-17 11:08:04.748000,3A147E63,Nigeria,United Kingdom,Due to start a new job within the next month,Black,English,United Kingdom,Female,Yes
5f117a162d00645227636064,5ef265742c11c510338b5d56,APPROVED,2020-07-17 10:18:34.581000,2020-07-17 10:26:57.272000,502.691,43,16,0,100,2020-07-17 11:08:06.843000,3A147E63,United Kingdom,United Kingdom,Full-Time,Black,English,United Kingdom,Female,No
5f117a2b252f8d5231b84ff6,5ea043f2618bcf041cb4c245,APPROVED,2020-07-17 10:15:11.324000,2020-07-17 10:22:51.012000,459.688,28,48,1,100,2020-07-17 11:08:09.327000,3A147E63,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",Mixed,English,United Kingdom,Female,No
5f117a50ab48d003093601eb,5ee33fb13c5362000a292c42,APPROVED,2020-07-17 10:15:50.266000,2020-07-17 10:19:08.771000,198.505,22,20,0,100,2020-07-17 11:08:11.337000,3A147E63,United Kingdom,United Kingdom,,Mixed,,United Kingdom,Female,
5f117a5aa16c0a51c9b68b2f,5ea9890b7baf810a13bcdb56,APPROVED,2020-07-17 10:16:00.970000,2020-07-17 10:20:09.350000,248.38,18,59,0,100,2020-07-17 11:08:12.713000,3A147E63,United Kingdom,United Kingdom,Unemployed (and job seeking),Mixed,English,United Kingdom,Female,Yes
5f117ac9b8604e000b9f7062,5d790c98242bbf0017c128ee,APPROVED,2020-07-17 10:17:50.467000,2020-07-17 10:21:11.814000,201.347,29,104,0,100,2020-07-17 11:08:14.795000,3A147E63,United Kingdom,United Kingdom,Full-Time,Asian,English,United Kingdom,Female,No
5f117ace02d07c3b6fb50eca,5ee283eefd60a43bd8b0b655,APPROVED,2020-07-17 10:17:53.022000,2020-07-17 10:21:16.941000,203.919,27,16,0,100,2020-07-17 11:08:17.067000,3A147E63,United Kingdom,United Kingdom,Part-Time,Mixed,English,United Kingdom,Female,No
5f117af954ae125193ecf2b7,5d8e71c2d277e1001718863c,TIMED-OUT,2020-07-17 10:18:36.053000,,38567.129481,25,91,1,100,,,United Kingdom,United Kingdom,Full-Time,Mixed,English,United Kingdom,Female,No
