session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,Ethnicity (Simplified),First Language,Nationality,Sex,Student Status
5f103a528d085e2ac27431c5,5eadba3c2ee2df08c162dc70,APPROVED,2020-07-16 11:30:26.717000,2020-07-16 11:33:25.067000,178.35,31,42,0,100,2020-07-16 13:19:34.872000,3A147E63,United Kingdom,United Kingdom,Full-Time,Mixed,English,United Kingdom,Male,No
5f103a57408f6029df5fe7f6,5ea40a4f9b5ea639664812d1,APPROVED,2020-07-16 11:30:32.356000,2020-07-16 11:34:18.819000,226.463,20,51,0,100,2020-07-16 13:19:38.394000,3A147E63,United Kingdom,United Kingdom,Unemployed (and job seeking),Asian,Urdu,United Kingdom,Male,Yes
5f103a571fb2b82930eeac45,5edaa4fa28a45e12e7a48385,APPROVED,2020-07-16 11:30:33.392000,2020-07-16 11:34:22.170000,228.778,18,11,2,90,2020-07-16 13:19:35.968000,3A147E63,United Kingdom,United Kingdom,Other,Black,Swahili,United Kingdom,Male,Yes
5f103a571fcefe2a2ad00250,5e5800186e6dc6000ecd880c,APPROVED,2020-07-16 11:30:31.725000,2020-07-16 11:34:10.287000,218.562,30,88,0,100,2020-07-16 13:19:37.341000,3A147E63,India,Canada,Full-Time,Asian,English,India,Male,No
5f103a5a7383f70009648973,5d7d57efad1fe40001e94417,APPROVED,2020-07-16 11:30:34.233000,2020-07-16 11:34:09.314000,215.081,21,133,0,100,2020-07-16 13:19:39.448000,3A147E63,United Kingdom,United Kingdom,Unemployed (and job seeking),Black,English,United Kingdom,Male,Yes
5f103a5bfd703f00080e8dab,5721b3054d5b26001301f651,APPROVED,2020-07-16 11:30:35.650000,2020-07-16 11:34:35.245000,239.595,31,1039,10,99,2020-07-16 13:19:41.727000,3A147E63,Australia,Australia,Full-Time,Asian,English,India,Male,No
5f103a5b964e73134399022d,5d5db7f7ca179000180b17cc,APPROVED,2020-07-16 11:30:49.393000,2020-07-16 11:33:34.106000,164.713,35,271,4,99,2020-07-16 13:19:40.538000,3A147E63,United Kingdom,United Kingdom,Full-Time,Asian,English,United Kingdom,Male,No
5f103a64e80fba29f97f9bce,5bd4944a72eb1f0001efb198,APPROVED,2020-07-16 11:30:44.121000,2020-07-16 11:34:50.746000,246.625,24,132,1,100,2020-07-16 13:19:43.889000,3A147E63,Israel,Israel,Other,Other,Russian,Israel,Male,Yes
5f103a648d97d72a075cf3fb,5ef1125a34472c1dbf284409,APPROVED,2020-07-16 11:32:53.490000,2020-07-16 11:48:46.651000,953.161,37,18,0,100,2020-07-16 13:19:42.828000,3A147E63,United Kingdom,United Kingdom,Unemployed (and job seeking),Black,English,United Kingdom,Male,No
5f103a65285e1a000913bd46,5d833b0e6642ee0001bfa9cb,APPROVED,2020-07-16 11:30:48.992000,2020-07-16 11:42:30.861000,701.869,36,272,1,100,2020-07-16 13:19:44.962000,3A147E63,United Kingdom,United Kingdom,Full-Time,Asian,English,United Kingdom,Male,No
