session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,Ethnicity (Simplified),First Language,Nationality,Sex,Student Status
5f11dde77aedf60c1dd86d37,5ed2a0cecc371009c038937b,APPROVED,2020-07-17 17:20:39.285000,2020-07-17 17:29:35.011000,535.726,56,34,0,100,2020-07-17 20:24:27.522000,3A147E63,United Kingdom,United Kingdom,Full-Time,White,English,United Kingdom,Female,No
5f11de1a8cb3ae0b9171cbc9,5efa66c030577f1782e0311a,APPROVED,2020-07-17 17:21:30.459000,2020-07-17 17:27:18.692000,348.233,20,4,0,100,2020-07-17 20:24:29.855000,3A147E63,United Kingdom,United Kingdom,Unemployed (and job seeking),White,English,United Kingdom,Female,Yes
5f11de200e81670aadd465b6,5c338c7e2714e400013de136,APPROVED,2020-07-17 17:21:38.935000,2020-07-17 17:26:33.977000,295.042,20,37,0,100,2020-07-17 20:24:32.064000,3A147E63,United Kingdom,United Kingdom,Due to start a new job within the next month,White,English,United Kingdom,Female,Yes
5f11de317a99fb0ab1445064,5e6e2b3a07559c3d987b5457,APPROVED,2020-07-17 17:21:53.289000,2020-07-17 17:30:38.728000,525.439,65,20,0,100,2020-07-17 20:24:34.580000,3A147E63,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",White,English,United Kingdom,Female,No
5f11de799935770b44a9a90a,5d588fe7035b8900019e4c67,APPROVED,2020-07-17 17:23:05.235000,2020-07-17 17:28:22.094000,316.859,38,42,0,100,2020-07-17 20:24:36.971000,3A147E63,United Kingdom,United Kingdom,Full-Time,White,English,United Kingdom,Female,No
5f11dea1d2423e0c81cc07fd,5ec5865dc1172f5953f601af,APPROVED,2020-07-17 17:23:45.861000,2020-07-17 17:28:21.040000,275.179,24,17,0,100,2020-07-17 20:24:38.941000,3A147E63,United Kingdom,United Kingdom,Other,White,English,United Kingdom,Female,Yes
5f11dea9c928a30cbaf26bb1,59eb3f862f63d30001c8ffe5,APPROVED,2020-07-17 17:24:06.941000,2020-07-17 17:30:26.970000,380.029,35,264,0,100,2020-07-17 20:24:39.551000,3A147E63,United Kingdom,United Kingdom,Other,White,English,United Kingdom,Female,No
5f11dec9816c550c943493f8,5ef48cc9c9e7b703570a48e7,APPROVED,2020-07-17 17:24:25.905000,2020-07-17 17:27:39.933000,194.028,25,8,0,100,2020-07-17 20:24:40.768000,3A147E63,United Kingdom,United Kingdom,Full-Time,White,English,United Kingdom,Female,No
5f11defe9926a10d5b70764e,5b5d41b8ba7ec90001fe80d2,APPROVED,2020-07-17 17:25:23.445000,2020-07-17 17:30:12.954000,289.509,54,73,0,100,2020-07-17 20:24:42.230000,3A147E63,United Kingdom,United Kingdom,Part-Time,White,English,United Kingdom,Female,No
5f11df607195c80c00d7c7b3,5d4d633cdf6ada0001901611,APPROVED,2020-07-17 17:27:00.834000,2020-07-17 17:32:08.656000,307.822,48,87,1,100,2020-07-17 20:24:42.996000,3A147E63,United Kingdom,United Kingdom,Full-Time,White,English,United Kingdom,Female,No
